id,command,last_name,first_name,rank,shield_no,active
927430,P A T U,ROBLEDO,JAQUELIN,Police Officer,05519,false
927431,INT FIO PRG,ROBLES,LUIS,Detective,03531,false
927433,063 PCT,ROCK,DARREN,Lieutenant,00000,false
927435,SVD SOMU,RODRIGUEZ,CARLOS,Detective,05314,false
927436,104 PCT,RODRIGUEZ,CARLOS,Police Officer,27159,false
927437,QNS CT,RODRIGUEZ,DANIEL,Police Officer,28389,false
927438,BUS UT,RODRIGUEZ,DAVID,Police Officer,23158,false
927439,GANG BS,RODRIGUEZ,DEREK,Police Officer,07830,false
927440,BUS UT,RODRIGUEZ,EDWARD,Police Officer,11241,false
927441,005 PCT,RODRIGUEZ,ERIC,Lieutenant,00000,false
927442,P A T U,RODRIGUEZ,FREDDY,Police Officer,30262,false
927443,007 PCT,RODRIGUEZ,GREGORY,Detective,06067,false
927444,P A T U,RODRIGUEZ,JOSEPH,Police Officer,08444,false
927445,013 PCT,RODRIGUEZ,LUIS,Police Officer,02060,false
927446,PSA 2,RODRIGUEZ,PETER,Police Officer,04512,false
927447,P A T U,RODRIGUEZ,ROSA,Police Officer,02954,false
927448,DB GLD,FIGUEROA,THERESA,Detective,01331,false
927449,P A T U,RODRIGUEZ,MIGUEL,Police Officer,13686,false
927450,PB EMD,ROGERS,BURCHELL,Police Officer,04553,false
